
################################################################################
#              CLUSTER SIMILARITY TABLES              #
################################################################################


Cosine Similarity (Word-Based)
        0     1     2     3     4     5     6     7     8     9
 0 | 1.000 0.578 0.492 0.858 0.484 0.833 0.703 0.972 0.938 0.702
 1 | 0.578 1.000 0.703 0.728 0.732 0.796 0.778 0.568 0.484 0.852
 2 | 0.492 0.703 1.000 0.515 0.906 0.779 0.761 0.489 0.403 0.665
 3 | 0.858 0.728 0.515 1.000 0.502 0.868 0.825 0.869 0.867 0.898
 4 | 0.484 0.732 0.906 0.502 1.000 0.796 0.795 0.456 0.351 0.655
 5 | 0.833 0.796 0.779 0.868 0.796 1.000 0.931 0.838 0.781 0.876
 6 | 0.703 0.778 0.761 0.825 0.795 0.931 1.000 0.691 0.679 0.866
 7 | 0.972 0.568 0.489 0.869 0.456 0.838 0.691 1.000 0.963 0.707
 8 | 0.938 0.484 0.403 0.867 0.351 0.781 0.679 0.963 1.000 0.683
 9 | 0.702 0.852 0.665 0.898 0.655 0.876 0.866 0.707 0.683 1.000

Correlation (Document-Based)
        0     1     2     3     4     5     6     7     8     9
 0 | 1.000 -0.158 -0.116 -0.119 -0.012 -0.062 -0.131 -0.159 -0.154 -0.030
 1 | -0.158 1.000 0.030 -0.119 -0.110 -0.034 -0.011 -0.251 -0.173 -0.074
 2 | -0.116 0.030 1.000 -0.141 -0.187 -0.098 0.038 -0.332 -0.068 -0.062
 3 | -0.119 -0.119 -0.141 1.000 -0.167 -0.076 -0.080 -0.133 -0.191 -0.180
 4 | -0.012 -0.110 -0.187 -0.167 1.000 -0.194 -0.185 0.058 0.046 -0.114
 5 | -0.062 -0.034 -0.098 -0.076 -0.194 1.000 -0.045 -0.173 -0.148 -0.165
 6 | -0.131 -0.011 0.038 -0.080 -0.185 -0.045 1.000 -0.207 -0.244 -0.193
 7 | -0.159 -0.251 -0.332 -0.133 0.058 -0.173 -0.207 1.000 0.052 -0.026
 8 | -0.154 -0.173 -0.068 -0.191 0.046 -0.148 -0.244 0.052 1.000 -0.042
 9 | -0.030 -0.074 -0.062 -0.180 -0.114 -0.165 -0.193 -0.026 -0.042 1.000
